run,I00,I01,I10,I11
1,1.272691e-11,1.017805e-05,2.045118e-05,3.087359e-05
2,1.281772e-11,9.380605e-06,1.889715e-05,2.821675e-05
3,1.280254e-11,9.470161e-06,1.931404e-05,2.880709e-05
4,1.277407e-11,9.851169e-06,1.927050e-05,2.889595e-05
5,1.271756e-11,9.675910e-06,1.923132e-05,2.906323e-05
6,1.291103e-11,9.543588e-06,1.966144e-05,2.963717e-05
7,1.301548e-11,1.023708e-05,2.071873e-05,3.065910e-05
8,1.273423e-11,9.590237e-06,1.964274e-05,2.933107e-05
9,1.288008e-11,9.511263e-06,1.941758e-05,2.910691e-05
10,1.304682e-11,9.879939e-06,1.978898e-05,2.958734e-05
11,1.311022e-11,1.039286e-05,1.999654e-05,3.005297e-05
12,1.284408e-11,9.662495e-06,1.985054e-05,2.963200e-05
13,1.283047e-11,1.049235e-05,2.075633e-05,3.091961e-05
14,1.291747e-11,1.021088e-05,2.044327e-05,3.044243e-05
15,1.277000e-11,1.011895e-05,2.023928e-05,3.031006e-05
16,1.279266e-11,1.004559e-05,1.942003e-05,2.898092e-05
17,1.288459e-11,1.041320e-05,2.043332e-05,3.084553e-05
18,1.320656e-11,9.659681e-06,1.946648e-05,2.914939e-05
19,1.275184e-11,9.726633e-06,1.957799e-05,2.992588e-05
20,1.280999e-11,1.081315e-05,2.054414e-05,3.045642e-05
21,1.277191e-11,9.256384e-06,1.885886e-05,2.892022e-05
22,1.290904e-11,1.038533e-05,2.106006e-05,3.102612e-05
23,1.276662e-11,9.746156e-06,2.026091e-05,3.023777e-05
24,1.299769e-11,9.650698e-06,1.883128e-05,2.884858e-05
25,1.288563e-11,9.397040e-06,1.914377e-05,2.891793e-05
26,1.295432e-11,9.794459e-06,1.980597e-05,2.965780e-05
27,1.282051e-11,9.918080e-06,1.994132e-05,2.981242e-05
28,1.284306e-11,9.688333e-06,1.948090e-05,2.914251e-05
29,1.272099e-11,1.022392e-05,2.001996e-05,3.039681e-05
30,1.284526e-11,1.000583e-05,1.980620e-05,3.007801e-05
31,1.272936e-11,1.009863e-05,2.031684e-05,3.031250e-05
32,1.320483e-11,1.012937e-05,2.072445e-05,3.090823e-05
33,1.282705e-11,1.034188e-05,2.031724e-05,3.006802e-05
34,1.280670e-11,1.039793e-05,1.995729e-05,3.032076e-05
35,1.281563e-11,9.822279e-06,1.933187e-05,2.901915e-05
36,1.275882e-11,1.039268e-05,2.071160e-05,3.126853e-05
37,1.288837e-11,1.076158e-05,2.133859e-05,3.185863e-05
38,1.278089e-11,9.982935e-06,1.994973e-05,2.994296e-05
39,1.298852e-11,9.998203e-06,1.947946e-05,2.932985e-05
40,1.271255e-11,1.002179e-05,1.984498e-05,2.970005e-05
41,1.270231e-11,9.811380e-06,1.959773e-05,2.999728e-05
42,1.280198e-11,9.965765e-06,1.976766e-05,2.910555e-05
43,1.279792e-11,1.040397e-05,2.085013e-05,3.051194e-05
44,1.283978e-11,9.659699e-06,1.960829e-05,2.912803e-05
45,1.309559e-11,9.889042e-06,1.986019e-05,3.040659e-05
46,1.281441e-11,1.042623e-05,2.022840e-05,3.034260e-05
